aberdeen,57.1464,-2.0934,4000000
ardrishaig,56.013,-5.4425,120000
ayr,55.46666666666667,-4.65,340000
baltic-wharf,51.61666666666667,0.75,110000
barrow-in-furness,52.25,-4.266666666666667,110000
barry,51.38333333333333,-3.2666666666666666,281000
belfast,54.6,-5.933333333333334,24600000
berwick-upon-tweed,55.766666666666666,-1.9833333333333334,150000
bideford,51.016666666666666,-4.203333333333333,60000
birkenhead,53.4,-3.0033333333333334,1086600
blyth,55.11666666666667,-1.4833333333333334,1200000
boston,52.96666666666667,-0.03333333333333333,1300000
bridgwater,51.166666666666664,-3.0,50000
brightlingsea,51.8,1.0333333333333334,50000
bristol,51.45,-2.6333333333333333,10000000
bromborough,53.355,-2.9716666666666667,200000
buckie-cluny-harbour,57.68333333333333,-2.95,100000
burntisland,56.05,-3.2333333333333334,100000
cardiff,51.45,-2.15,2500000
chatham,51.4,0.55,1000000
coleraine,55.13333333333333,-6.666666666666667,50000
cowes,50.766666666666666,-1.2833333333333332,500000
cromarty-firth,52.25,-4.266666666666667,8000000
dover,51.11666666666667,1.3333333333333333,13000000
dundee,56.46666666666667,-2.966666666666667,1000000
falmouth-docks,50.15,-5.066666666666666,125000
felixstowe,51.95,1.3166666666666667,30000000
fleetwood,53.93333333333333,-3.0,1406000
flixborough,53.61666666666667,0.7,600000
fowey-docks-2,50.31666666666667,-4.633333333333333,750000
garston,50.35,-2.9,750000
glasgow,55.86666666666667,-4.283333333333333,1000000
glensanda,56.56666666666667,-5.533333333333333,7000000
goole,53.7,-0.8333333333333334,1400000
grangemouth,56.035333333333334,-3.684,8500000
granton,55.983333333333334,-3.216666666666667,2000
grimsby,53.583333333333336,-0.06666666666666667,1100000
harwich-haven,51.946333333333335,1.2913333333333332,210000000
heysham,54.03333333333333,-2.9333333333333336,3000000
holyhead,53.31666666666667,-4.633333333333333,270000
immingham,53.96666666666667,-0.18333333333333332,46300000
invergordon,57.68333333333333,-4.166666666666667,8000000
inverness,57.483333333333334,-4.233333333333333,750000
ipswich,52.05,1.1666666666666667,2500000
kings-lynn,52.75833333333333,0.39166666666666666,400000
kirkcaldy,56.1,-3.15,60000
kirkwall,58.983333333333334,-2.966666666666667,6000000
kyle-of-lochalsh,57.28,-5.713333333333333,10000
langstone-harbour,50.796166666666664,-1.0253333333333334,500000
leith,55.983333333333334,-3.1666666666666665,2000000
lerwick,60.166666666666664,-1.15,11000000
littlehampton,50.803888888888885,-0.5425,30000
liverpool,53.4,-3.0033333333333334,33400000
london,51.5,-0.06666666666666667,54400000
londonderry,55.025,-7.261666666666667,1200000
macduff,57.666666666666664,-2.5,38000
manchester-ship-canal,53.325,-2.95,7500000
methil,56.18333333333333,-3.0166666666666666,100000
milford-haven,51.70777777777778,-5.051111111111111,35000000
mistley-quay,51.95,1.0833333333333333,200000
montrose,56.7,-2.45,1800000
neath,51.61666666666667,-3.8333333333333335,350000
newhaven,50.78333333333333,0.058333333333333334,2000000
penryn,50.166666666666664,-5.083333333333333,5000
peterhead,57.5,-1.7666666666666666,10300000
poole,50.71333333333333,-1.9883333333333333,2300000
port-penrhyn,53.233333333333334,-4.116666666666666,150000
portsmouth,50.8,-1.1,985000
rosyth,56.016666666666666,-3.4333333333333336,250000
rye,50.93333333333333,0.7833333333333333,90000
scalloway-harbour,60.13333333333333,-1.2666666666666666,450000
scrabster-harbour,58.61666666666667,-3.55,9700000
seaham-harbour,54.833333333333336,-1.3166666666666667,600000
sharpness,51.71666666666667,-2.4833333333333334,600000
sheerness,51.45,0.75,2700000
shoreham,50.825,-0.2475,2000000
silloth,54.86666666666667,-3.4,150000
st-helier-jersey,49.166666666666664,-2.1,600000
st-marys-harbour-isles-of-scilly,49.91833333333334,-6.316666666666666,100000
sullom-voe,60.43333333333333,-1.3,5650770
sunderland,54.916666666666664,-1.35,1100000
sutton-bridge,52.8,0.25,1000000
swansea,51.61666666666667,-3.9166666666666665,520000
tees-billingham,54.586666666666666,-1.2583333333333333,200000
teesport,54.583333333333336,-1.2166666666666668,53000000
thamesport,51.43333333333333,0.7,4000000
tilbury,51.45,0.35,8300000
torquay-torbay-harbour,55.5,-4.683333333333334,100000
truro,50.25,-5.041666666666667,50000
tyne,55.016666666666666,-1.4166666666666667,3300000
warrenpoint,54.016666666666666,-6.25,3600000
whitstable,51.36666666666667,1.0333333333333334,70000
wisbech,52.666666666666664,0.16666666666666666,800000
